MeterIdentifier,AccountNumber,AccountSubNumber,AccountRate,Multiplier,LocationNumber,MeterPosition,ReadLogDate,ReadValue,ReadDate,UOM,CISCycleIdentifier
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.073,3/14/2026 18:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.056,3/14/2026 18:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.05,3/14/2026 18:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.075,3/14/2026 19:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.1,3/14/2026 19:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.068,3/14/2026 19:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.058,3/14/2026 19:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.058,3/14/2026 20:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.089,3/14/2026 20:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.127,3/14/2026 20:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,0.123,3/14/2026 20:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,1.515,3/14/2026 21:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.566,3/14/2026 21:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.576,3/14/2026 21:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.513,3/14/2026 21:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.58,3/14/2026 22:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.517,3/14/2026 22:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.522,3/14/2026 22:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.501,3/14/2026 22:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.485,3/14/2026 23:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.526,3/14/2026 23:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.513,3/14/2026 23:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.497,3/14/2026 23:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/14/2026 0:00,2.504,3/15/2026 0:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.531,3/15/2026 0:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.507,3/15/2026 0:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.486,3/15/2026 0:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.497,3/15/2026 1:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.518,3/15/2026 1:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.493,3/15/2026 1:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.487,3/15/2026 1:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.514,3/15/2026 2:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.537,3/15/2026 2:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.498,3/15/2026 2:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.491,3/15/2026 2:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,2.501,3/15/2026 3:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,0,3/15/2026 3:15,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,0,3/15/2026 3:30,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,0,3/15/2026 3:45,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,0,3/15/2026 4:00,KWH,1
142856004,216362,1,108,1,184721,NULL,3/15/2026 0:00,0.09,3/15/2026 4:15,KWH,1
